id,isim,soyisim,yas,yillik_gelir,satin_alma_miktari
55,Emre,Şahin,29,74512,4
56,Fatma,Şahin,68,24575,17
57,Fatma,Şahin,46,63575,2
58,Ahmet,Demir,52,142184,6
59,Ayşe,Demir,18,127954,14
60,Selin,Güler,18,145743,12
61,Ahmet,Şahin,54,65368,12
62,Zeynep,Güler,23,37254,12
63,Selin,Güler,56,72091,6
64,Mehmet,Korkmaz,58,34164,11
65,Ahmet,Demir,35,74552,19
66,Selin,Doğan,33,22012,3
67,Elif,Kaya,22,147406,17
68,Ayşe,Çelik,59,122639,1
69,Zeynep,Kaya,60,144522,14
70,Ahmet,Yılmaz,49,78510,17
71,Fatma,Öztürk,19,69301,2
72,Selin,Arslan,19,82297,1
73,Hüseyin,Arslan,57,81396,11
74,Ali,Şahin,59,62167,10
75,Hüseyin,Doğan,53,32540,9
76,Hüseyin,Şahin,56,21248,3
77,Ayşe,Arslan,29,132212,15
78,Zeynep,Demir,64,89608,3
79,Mehmet,Demir,36,132929,9
80,Ali,Çelik,45,21164,16
81,Hüseyin,Öztürk,18,26241,17
82,Ali,Çelik,32,81767,4
83,Selin,Öztürk,53,70825,14
84,Ayşe,Şahin,30,108920,3
85,Emre,Arslan,60,84142,8
86,Ahmet,Şahin,38,79479,11
87,Ahmet,Korkmaz,29,20357,8
88,Ali,Öztürk,22,91557,17
89,Hüseyin,Yılmaz,24,74574,8
90,Mehmet,Çelik,22,107273,2
91,Ali,Arslan,65,49422,14
92,Fatma,Şahin,21,79012,14
93,Fatma,Korkmaz,30,73516,1
94,Fatma,Şahin,54,53112,10
95,Mehmet,Arslan,58,146033,13
96,Ali,Güler,32,50158,4
97,Fatma,Arslan,33,28887,8
98,Zeynep,Doğan,38,38510,2
99,Ali,Demir,53,123249,18
100,Ahmet,Yılmaz,41,75646,3
101,Elif,Şahin,33,45609,11
102,Ahmet,Öztürk,31,86213,6
103,Emre,Doğan,39,74529,3
104,Ali,Korkmaz,66,107987,12
105,Elif,Doğan,67,67552,12
106,Ahmet,Öztürk,23,101647,6
107,Emre,Güler,59,114194,11
108,Selin,Çelik,53,112698,5
109,Selin,Yılmaz,18,23467,14
110,Zeynep,Yılmaz,49,111943,1
111,Fatma,Kaya,23,39625,17
112,Elif,Güler,48,145396,5
113,Ahmet,Şahin,18,132793,4
114,Ahmet,Yılmaz,67,40589,13
115,Emre,Şahin,68,127297,1
116,Ahmet,Şahin,54,125970,14
117,Emre,Çelik,52,42835,19
118,Emre,Demir,66,56598,12
119,Elif,Kaya,47,119448,1
120,Elif,Yılmaz,21,129845,19
121,Hüseyin,Demir,52,47261,12
122,Ayşe,Korkmaz,60,41046,19
123,Zeynep,Arslan,31,56431,18
124,Ali,Öztürk,66,65409,17
125,Fatma,Arslan,57,27536,12
126,Selin,Demir,39,78240,19
127,Zeynep,Arslan,27,101675,4
128,Zeynep,Yılmaz,18,145148,2
129,Zeynep,Şahin,28,59713,14
130,Mehmet,Korkmaz,68,106010,11
131,Mehmet,Demir,61,102186,12
132,Elif,Güler,41,81837,19
133,Mehmet,Şahin,20,67061,4
134,Emre,Yılmaz,52,76330,14
135,Emre,Korkmaz,53,88839,7
136,Ahmet,Korkmaz,48,26951,16
137,Ali,Doğan,21,62784,3
138,Emre,Şahin,36,138116,4
139,Mehmet,Güler,64,29156,4
140,Selin,Korkmaz,53,126659,7
141,Fatma,Güler,38,107752,17
142,Fatma,Kaya,35,145271,14
143,Ali,Korkmaz,68,29303,16
144,Ayşe,Öztürk,45,133252,12
145,Ayşe,Demir,32,100466,2
146,Ayşe,Öztürk,59,142815,19
147,Elif,Çelik,19,57038,11
148,Mehmet,Arslan,54,119042,14
149,Ali,Çelik,28,147314,17
150,Emre,Arslan,40,70196,3
151,Hüseyin,Demir,61,55866,18
152,Ali,Güler,58,63420,11
153,Ali,Demir,29,46380,6
154,Mehmet,Öztürk,20,129329,10
155,Emre,Arslan,69,87970,5
156,Hüseyin,Yılmaz,34,44564,16
157,Mehmet,Güler,50,144708,13
158,Ahmet,Arslan,18,76266,13
159,Ahmet,Şahin,56,52290,3
160,Fatma,Kaya,37,86471,9
161,Mehmet,Güler,64,29226,3
162,Elif,Öztürk,60,92243,18
163,Mehmet,Doğan,69,65186,9
164,Zeynep,Güler,58,89825,3
165,Selin,Çelik,31,26039,9
166,Selin,Çelik,48,47008,15
167,Ahmet,Öztürk,42,130972,14
168,Emre,Doğan,20,46442,10
169,Hüseyin,Çelik,21,30747,5
170,Fatma,Öztürk,48,92772,5
171,Zeynep,Kaya,52,111540,18
172,Zeynep,Öztürk,61,109785,5
173,Ali,Kaya,31,111397,1
174,Fatma,Demir,66,97547,5
175,Fatma,Çelik,58,77188,2
176,Fatma,Güler,26,47385,12
177,Ali,Güler,37,33038,5
178,Hüseyin,Öztürk,49,52259,19
179,Ahmet,Çelik,26,81805,13
180,Mehmet,Öztürk,44,142637,8
181,Hüseyin,Yılmaz,20,108670,3
182,Emre,Güler,21,111307,13
183,Ayşe,Yılmaz,62,49954,16
184,Fatma,Çelik,32,124827,3
185,Emre,Yılmaz,50,64961,2
186,Elif,Güler,22,68507,18
187,Hüseyin,Arslan,21,52155,17
188,Ayşe,Demir,63,132133,4
189,Mehmet,Güler,29,42067,15
190,Hüseyin,Şahin,40,58349,11
191,Zeynep,Doğan,31,65989,18
192,Ahmet,Korkmaz,63,93495,11
193,Zeynep,Şahin,29,36527,16
194,Ahmet,Güler,34,62570,17
195,Emre,Kaya,42,23804,9
196,Ahmet,Arslan,47,145347,8
197,Ali,Kaya,39,144824,11
198,Ayşe,Güler,64,147582,16
199,Zeynep,Çelik,43,78813,18
200,Ayşe,Öztürk,34,59221,17
201,Ahmet,Kaya,37,55071,13
202,Ahmet,Yılmaz,51,58764,11
203,Elif,Arslan,58,93815,7
204,Elif,Korkmaz,50,80808,1
205,Mehmet,Yılmaz,54,25021,7
206,Elif,Çelik,24,86910,16
207,Fatma,Kaya,39,78467,17
208,Ahmet,Kaya,49,62442,17
209,Selin,Öztürk,31,135566,8
210,Zeynep,Kaya,25,94649,15
211,Ayşe,Demir,42,145317,6
212,Zeynep,Öztürk,33,126989,2
213,Zeynep,Demir,59,61605,1
214,Elif,Demir,36,90756,4
215,Emre,Şahin,58,131262,6
216,Hüseyin,Yılmaz,33,103715,12
217,Emre,Doğan,29,50072,8
218,Hüseyin,Doğan,56,30251,17
219,Ayşe,Yılmaz,65,141017,3
220,Elif,Demir,47,51771,18
221,Ali,Kaya,19,45576,2
222,Selin,Yılmaz,49,117920,16
223,Ayşe,Güler,62,134651,12
224,Elif,Korkmaz,42,121515,13
225,Elif,Korkmaz,42,148164,16
226,Emre,Korkmaz,21,40546,2
227,Mehmet,Yılmaz,36,59829,12
228,Elif,Çelik,65,119273,15
229,Hüseyin,Doğan,21,141438,5
230,Ali,Doğan,60,144730,7
231,Mehmet,Öztürk,30,128798,14
232,Fatma,Şahin,56,132411,2
233,Zeynep,Öztürk,53,81330,8
234,Fatma,Şahin,40,21141,5
235,Emre,Yılmaz,23,92302,5
236,Zeynep,Yılmaz,41,36817,7
237,Ahmet,Öztürk,61,82330,11
238,Hüseyin,Arslan,50,53593,10
239,Elif,Kaya,29,25080,10
240,Elif,Arslan,58,133192,7
241,Hüseyin,Demir,38,117331,9
242,Ayşe,Demir,28,43958,8
243,Elif,Çelik,61,37010,19
244,Selin,Demir,55,42301,17
245,Zeynep,Yılmaz,46,26581,16
246,Mehmet,Doğan,65,140488,7
247,Elif,Güler,58,36173,10
248,Selin,Doğan,20,67154,14
249,Selin,Demir,45,101845,8
250,Ali,Şahin,37,59504,12
251,Ayşe,Öztürk,43,65287,12
252,Zeynep,Güler,41,118827,11
253,Ayşe,Öztürk,69,137536,18
254,Hüseyin,Kaya,64,123016,19
255,Selin,Kaya,38,74073,2
256,Selin,Kaya,47,102815,6
257,Selin,Demir,21,76987,19
258,Ali,Yılmaz,53,142764,17
259,Ayşe,Şahin,57,90990,11
260,Fatma,Yılmaz,27,43218,5
261,Mehmet,Öztürk,27,46556,13
262,Ahmet,Arslan,59,100717,12
263,Mehmet,Yılmaz,41,82398,3
264,Ayşe,Arslan,21,45012,2
265,Fatma,Korkmaz,64,60385,14
266,Fatma,Yılmaz,44,71388,17
267,Ayşe,Arslan,68,96912,6
268,Ayşe,Çelik,62,130897,1
269,Ayşe,Öztürk,21,70889,4
270,Mehmet,Öztürk,49,122909,19
271,Elif,Doğan,27,87817,12
272,Emre,Kaya,28,113070,6
273,Zeynep,Öztürk,45,79599,6
274,Emre,Yılmaz,63,61483,1
275,Ali,Arslan,25,95460,9
276,Ayşe,Arslan,57,110913,13
277,Hüseyin,Korkmaz,39,75277,4
278,Ali,Kaya,51,91864,6
279,Zeynep,Çelik,62,147736,6
280,Ahmet,Demir,52,49097,9
281,Ayşe,Çelik,52,53435,19
282,Selin,Şahin,42,114642,11
283,Emre,Çelik,51,75903,11
284,Zeynep,Korkmaz,23,81585,12
285,Emre,Arslan,58,123823,3
286,Mehmet,Demir,54,122822,10
287,Hüseyin,Demir,18,140706,6
288,Zeynep,Öztürk,29,105845,4
289,Selin,Kaya,52,70851,6
290,Ahmet,Güler,23,53297,15
291,Ahmet,Güler,34,127943,4
292,Ahmet,Doğan,26,114942,12
293,Ali,Öztürk,19,112863,7
294,Ali,Şahin,35,116761,19
295,Emre,Güler,66,56984,16
296,Ayşe,Güler,53,118609,11
297,Mehmet,Öztürk,45,58025,13
298,Selin,Korkmaz,58,26169,17
299,Mehmet,Güler,54,103613,4
300,Elif,Öztürk,66,76560,14
301,Ayşe,Arslan,43,112610,1
302,Zeynep,Öztürk,21,72848,11
303,Elif,Arslan,57,95264,5
304,Elif,Öztürk,53,28625,1
305,Elif,Arslan,68,43769,13
306,Mehmet,Şahin,48,133903,19
307,Elif,Demir,47,111909,16
308,Elif,Yılmaz,67,72052,12
309,Zeynep,Kaya,51,20653,9
310,Zeynep,Şahin,36,88389,12
311,Ayşe,Şahin,35,124532,1
312,Ali,Arslan,47,44171,16
313,Elif,Kaya,38,111934,8
314,Mehmet,Demir,20,36828,15
315,Ayşe,Çelik,23,122713,19
316,Fatma,Çelik,55,79899,14
317,Zeynep,Kaya,30,83106,17
318,Ali,Çelik,62,72645,15
319,Zeynep,Korkmaz,20,42964,8
320,Mehmet,Yılmaz,65,123830,7
321,Fatma,Çelik,45,39549,6
322,Fatma,Güler,39,56692,5
323,Fatma,Yılmaz,57,110177,7
324,Zeynep,Doğan,57,29257,5
325,Hüseyin,Yılmaz,29,53144,2
326,Selin,Şahin,40,42614,10
327,Ahmet,Korkmaz,48,80342,13
328,Zeynep,Çelik,35,62439,17
329,Hüseyin,Doğan,24,126534,5
330,Ali,Doğan,25,122800,5
331,Selin,Çelik,36,124372,1
332,Selin,Şahin,46,67708,13
333,Selin,Korkmaz,61,118483,19
334,Ahmet,Öztürk,37,24333,4
335,Mehmet,Çelik,67,145015,15
336,Selin,Güler,59,61500,14
337,Ali,Güler,47,137934,14
338,Ali,Yılmaz,64,91817,7
339,Emre,Çelik,39,60361,10
340,Selin,Şahin,27,76987,10
341,Hüseyin,Şahin,43,81327,17
342,Selin,Doğan,68,130874,4
343,Hüseyin,Güler,50,85487,14
344,Fatma,Şahin,45,76306,15
345,Ali,Öztürk,27,20494,8
346,Elif,Korkmaz,46,68121,7
347,Hüseyin,Çelik,61,93358,16
348,Hüseyin,Arslan,35,46598,7
349,Emre,Korkmaz,59,74928,1
350,Hüseyin,Öztürk,18,118973,5
351,Zeynep,Doğan,40,133085,4
352,Ayşe,Kaya,34,115186,9
353,Emre,Arslan,60,109606,4
354,Selin,Kaya,54,76824,11
355,Hüseyin,Güler,48,105047,6
356,Zeynep,Doğan,42,100449,13
357,Ayşe,Yılmaz,21,136817,10
358,Selin,Demir,69,89248,4
359,Hüseyin,Arslan,26,115646,12
360,Selin,Çelik,45,85585,19
361,Fatma,Doğan,47,54804,16
362,Zeynep,Demir,64,102238,15
363,Ayşe,Doğan,41,59937,18
364,Emre,Arslan,50,86044,12
365,Ahmet,Şahin,37,30187,1
366,Selin,Güler,26,93375,14
367,Mehmet,Öztürk,25,40000,17
368,Fatma,Doğan,41,86890,9
369,Mehmet,Şahin,31,83875,9
370,Mehmet,Doğan,35,99677,14
371,Fatma,Öztürk,18,62840,18
372,Hüseyin,Şahin,29,46746,2
373,Ali,Arslan,46,59308,19
374,Elif,Çelik,54,112698,5
375,Ayşe,Demir,43,107812,8
376,Fatma,Çelik,50,72905,10
377,Elif,Demir,60,85713,3
378,Mehmet,Öztürk,32,44526,4
379,Ali,Arslan,40,56756,5
380,Mehmet,Şahin,46,94427,9
381,Selin,Yılmaz,38,70218,19
382,Ahmet,Şahin,36,122030,12
383,Elif,Şahin,22,89942,3
384,Fatma,Yılmaz,40,51108,8
385,Mehmet,Öztürk,53,24155,19
386,Mehmet,Güler,37,119634,8
387,Hüseyin,Çelik,25,71927,17
388,Mehmet,Yılmaz,26,106267,11
389,Selin,Kaya,31,79764,17
390,Fatma,Güler,23,64554,1
391,Fatma,Demir,18,79762,4
392,Hüseyin,Yılmaz,26,102187,8
393,Emre,Arslan,33,110453,16
394,Fatma,Doğan,33,30681,1
395,Emre,Doğan,29,98786,11
396,Ali,Arslan,22,119965,9
397,Ayşe,Korkmaz,57,56414,12
398,Emre,Demir,46,109739,10
399,Elif,Arslan,63,126367,16
400,Zeynep,Doğan,44,29545,6
401,Ahmet,Şahin,28,141014,13
402,Ayşe,Korkmaz,64,76757,11
403,Emre,Şahin,67,21208,1
404,Selin,Çelik,45,114622,10
405,Selin,Güler,69,78554,13
406,Ahmet,Doğan,53,141768,11
407,Zeynep,Şahin,59,116695,8
408,Fatma,Şahin,36,62604,12
409,Zeynep,Kaya,52,45823,6
410,Ahmet,Güler,69,107896,7
411,Hüseyin,Arslan,48,66856,10
412,Ahmet,Şahin,61,91632,11
413,Emre,Şahin,36,65265,13
414,Zeynep,Demir,63,25085,5
415,Hüseyin,Öztürk,41,105213,5
416,Selin,Güler,19,30511,12
417,Mehmet,Şahin,24,123865,17
418,Emre,Kaya,60,33177,5
419,Fatma,Kaya,66,92327,12
420,Elif,Öztürk,48,74296,6
421,Elif,Arslan,34,30442,6
422,Ayşe,Çelik,44,62293,9
423,Mehmet,Şahin,53,58066,15
424,Elif,Demir,67,72808,12
425,Selin,Çelik,60,87326,12
426,Selin,Doğan,27,99272,5
427,Selin,Şahin,62,20586,10
428,Hüseyin,Öztürk,31,106695,16
429,Mehmet,Çelik,24,79107,8
430,Fatma,Arslan,56,84406,1
431,Ayşe,Şahin,57,33823,6
432,Ali,Doğan,26,123724,16
433,Zeynep,Doğan,31,67024,19
434,Hüseyin,Yılmaz,25,40149,10
435,Zeynep,Yılmaz,34,87456,10
436,Zeynep,Demir,40,21257,18
437,Elif,Güler,33,114161,17
438,Emre,Doğan,43,36840,12
439,Hüseyin,Kaya,26,133779,19
440,Zeynep,Güler,53,134198,2
441,Elif,Yılmaz,24,145515,11
442,Zeynep,Çelik,35,113405,18
443,Ahmet,Kaya,25,131101,16
444,Zeynep,Demir,38,31369,17
445,Ali,Şahin,43,109780,5
446,Ayşe,Demir,20,20160,4
447,Fatma,Çelik,34,94542,7
448,Emre,Yılmaz,68,132019,12
449,Ayşe,Korkmaz,63,36627,13
450,Fatma,Arslan,41,94101,3
451,Ali,Şahin,42,146502,12
452,Ayşe,Çelik,22,69248,2
453,Selin,Arslan,54,103173,6
454,Selin,Güler,62,148047,3
455,Zeynep,Arslan,67,71700,10
456,Ayşe,Çelik,41,99151,9
457,Fatma,Güler,48,66793,11
458,Emre,Kaya,43,33488,14
459,Elif,Güler,38,101308,11
460,Ayşe,Kaya,51,47858,17
461,Fatma,Kaya,55,116618,9
462,Emre,Şahin,41,27412,14
463,Zeynep,Arslan,45,65717,3
464,Hüseyin,Şahin,47,90174,19
465,Selin,Demir,51,71809,13
466,Elif,Korkmaz,69,49344,18
467,Fatma,Öztürk,69,46311,6
468,Hüseyin,Korkmaz,40,22790,16
469,Zeynep,Güler,25,67203,15
470,Mehmet,Yılmaz,59,73656,5
471,Elif,Güler,67,87137,8
472,Fatma,Şahin,27,40178,1
473,Mehmet,Kaya,18,74070,1
474,Elif,Korkmaz,37,94429,8
475,Ayşe,Korkmaz,54,113312,12
476,Hüseyin,Demir,35,142933,11
477,Ahmet,Kaya,38,104564,10
478,Elif,Korkmaz,66,92128,12
479,Elif,Kaya,21,100949,2
480,Elif,Korkmaz,60,67240,12
481,Elif,Doğan,19,71790,6
482,Selin,Korkmaz,38,27462,14
483,Zeynep,Öztürk,54,132594,4
484,Hüseyin,Korkmaz,22,117538,1
485,Hüseyin,Doğan,34,45347,1
486,Elif,Arslan,66,41942,5
487,Ayşe,Güler,65,106674,13
488,Hüseyin,Yılmaz,28,33102,5
489,Ahmet,Çelik,63,54546,5
490,Ali,Demir,58,102183,2
491,Zeynep,Doğan,48,93464,2
492,Hüseyin,Korkmaz,45,80922,12
493,Elif,Güler,61,138022,12
494,Ali,Güler,49,43040,9
495,Elif,Öztürk,38,134120,4
496,Elif,Doğan,24,82492,15
497,Elif,Güler,27,68144,12
498,Ahmet,Güler,45,133707,16
499,Zeynep,Güler,65,120575,3
500,Fatma,Güler,53,30040,19
501,Selin,Çelik,37,33936,10
502,Elif,Öztürk,30,65545,18
503,Selin,Çelik,36,108923,8
504,Ayşe,Doğan,67,77673,11
505,Selin,Yılmaz,28,136260,7
506,Fatma,Arslan,52,102279,5
507,Selin,Şahin,51,52423,17
508,Ali,Korkmaz,61,88359,14
509,Elif,Şahin,21,69824,18
510,Elif,Güler,30,102702,1
511,Ali,Demir,54,86958,8
512,Mehmet,Korkmaz,19,118687,15
513,Hüseyin,Korkmaz,67,54659,2
514,Mehmet,Güler,18,104575,3
515,Hüseyin,Şahin,57,47515,14
516,Mehmet,Doğan,42,82988,14
517,Elif,Korkmaz,54,100370,17
518,Emre,Arslan,53,24731,8
519,Mehmet,Öztürk,23,67626,7
520,Ayşe,Öztürk,24,33732,12
521,Ahmet,Doğan,21,44526,18
522,Emre,Doğan,52,128687,8
523,Selin,Şahin,58,116373,1
524,Fatma,Çelik,51,73874,15
525,Fatma,Korkmaz,46,97645,15
526,Ayşe,Şahin,22,34420,11
527,Ayşe,Doğan,44,42248,7
528,Emre,Yılmaz,50,148400,4
529,Ali,Doğan,63,122480,4
530,Ali,Güler,69,136401,6
531,Ali,Kaya,27,44027,6
532,Fatma,Korkmaz,23,54668,8
533,Ayşe,Yılmaz,51,107066,9
534,Emre,Çelik,25,66740,18
535,Selin,Çelik,48,81865,13
536,Hüseyin,Korkmaz,26,72138,17
537,Zeynep,Kaya,38,47310,5
538,Selin,Öztürk,25,136254,6
539,Emre,Çelik,21,131521,12
540,Hüseyin,Doğan,39,103711,1
541,Zeynep,Güler,45,47834,17
542,Zeynep,Kaya,62,30163,10
543,Zeynep,Çelik,21,114152,17
544,Hüseyin,Öztürk,56,27560,14
545,Mehmet,Doğan,38,30267,7
546,Zeynep,Güler,25,62589,3
547,Ahmet,Öztürk,37,102243,2
548,Zeynep,Kaya,49,77893,16
549,Mehmet,Öztürk,18,112984,2
550,Fatma,Demir,23,82796,2
551,Zeynep,Yılmaz,45,126498,2
552,Elif,Kaya,61,34284,11
553,Ayşe,Doğan,48,44348,2
554,Fatma,Yılmaz,27,124307,15
555,Selin,Öztürk,37,85743,19
556,Elif,Demir,25,43688,14
557,Mehmet,Doğan,39,118462,17
558,Ayşe,Korkmaz,55,140410,8
559,Elif,Şahin,46,99101,3
560,Emre,Şahin,26,95806,11
561,Hüseyin,Doğan,61,84816,11
562,Selin,Demir,64,54917,3
563,Zeynep,Demir,18,134728,3
564,Hüseyin,Arslan,58,99872,5
565,Fatma,Kaya,69,33163,12
566,Ayşe,Şahin,56,82352,9
567,Ayşe,Doğan,43,75056,16
568,Mehmet,Doğan,28,94069,17
569,Elif,Korkmaz,69,80869,10
570,Zeynep,Doğan,52,137354,6
571,Elif,Yılmaz,41,73390,4
572,Zeynep,Öztürk,50,146155,6
573,Zeynep,Çelik,37,48268,19
574,Ayşe,Çelik,44,113817,6
575,Elif,Arslan,32,30247,18
576,Ali,Korkmaz,50,39997,16
577,Emre,Doğan,69,82631,19
578,Ayşe,Güler,24,118504,7
579,Elif,Güler,51,131536,17
580,Fatma,Öztürk,62,41671,4
581,Zeynep,Demir,68,140207,18
582,Fatma,Korkmaz,63,63106,15
583,Ahmet,Öztürk,59,86100,9
584,Ali,Çelik,22,123889,6
585,Zeynep,Güler,47,60394,7
586,Ali,Çelik,45,79718,2
587,Fatma,Çelik,35,127111,7
588,Zeynep,Doğan,53,59593,11
589,Emre,Şahin,20,123050,6
590,Ayşe,Öztürk,38,94575,7
591,Ali,Çelik,63,145519,2
592,Elif,Şahin,33,102290,17
593,Hüseyin,Arslan,54,128781,11
594,Ahmet,Doğan,59,140822,14
595,Zeynep,Şahin,22,131763,5
596,Elif,Demir,67,142410,3
597,Selin,Yılmaz,68,35277,4
598,Ali,Güler,31,24956,17
599,Emre,Güler,48,28515,16
600,Selin,Şahin,63,84302,10
601,Fatma,Korkmaz,41,142070,9
602,Ali,Demir,52,82893,17
603,Zeynep,Demir,53,117819,4
604,Ahmet,Çelik,27,107469,13
605,Elif,Şahin,44,20585,7
606,Ahmet,Yılmaz,44,28473,3
607,Ahmet,Şahin,40,36529,1
608,Selin,Şahin,30,114010,10
609,Ali,Güler,33,114501,18
610,Hüseyin,Güler,52,81508,8
611,Zeynep,Öztürk,44,27443,18
612,Selin,Korkmaz,69,103641,12
613,Ayşe,Şahin,56,20132,19
614,Selin,Demir,64,29790,12
615,Ali,Güler,34,74641,16
616,Hüseyin,Arslan,65,135305,16
617,Emre,Korkmaz,58,59056,7
618,Fatma,Güler,18,63857,2
619,Fatma,Öztürk,28,135072,16
620,Elif,Yılmaz,29,59344,16
621,Ayşe,Doğan,31,130879,14
622,Fatma,Doğan,25,99861,11
623,Elif,Kaya,48,136521,8
624,Selin,Çelik,24,36287,3
625,Ayşe,Kaya,63,66916,14
626,Emre,Yılmaz,48,87173,16
627,Selin,Korkmaz,33,145852,16
628,Hüseyin,Öztürk,59,26290,7
629,Mehmet,Kaya,56,72063,4
630,Emre,Demir,61,133279,18
631,Mehmet,Çelik,36,86448,7
632,Ayşe,Şahin,25,40294,19
633,Ayşe,Kaya,46,76436,16
634,Elif,Demir,19,48526,5
635,Emre,Çelik,59,66804,7
636,Emre,Öztürk,20,92226,8
637,Selin,Arslan,68,31432,2
638,Elif,Yılmaz,46,126190,5
639,Ayşe,Güler,32,50297,5
640,Hüseyin,Demir,55,143494,13
641,Mehmet,Çelik,45,31703,12
642,Zeynep,Öztürk,54,100407,16
643,Ayşe,Demir,49,73078,12
644,Ayşe,Çelik,47,94070,4
645,Selin,Kaya,68,104543,13
646,Ali,Güler,64,46799,4
647,Emre,Kaya,47,120896,18
648,Ali,Öztürk,68,99479,3
649,Ali,Çelik,51,140109,6
650,Hüseyin,Kaya,30,44661,19
651,Hüseyin,Çelik,50,40859,4
652,Mehmet,Öztürk,59,28684,8
653,Emre,Korkmaz,34,110506,5
654,Ahmet,Korkmaz,20,131320,13
655,Hüseyin,Güler,26,104810,18
656,Ayşe,Doğan,69,141771,1
657,Emre,Demir,28,30729,19
658,Ayşe,Öztürk,66,25311,4
659,Ali,Öztürk,44,135129,7
660,Mehmet,Kaya,45,63628,19
661,Ali,Öztürk,19,76136,17
662,Ali,Öztürk,18,65979,5
663,Ahmet,Şahin,23,64336,17
664,Fatma,Demir,42,134488,10
665,Fatma,Demir,52,129351,17
666,Ahmet,Güler,33,115722,2
667,Ali,Demir,21,66748,15
668,Ali,Öztürk,64,134318,14
669,Emre,Arslan,55,56980,19
670,Emre,Öztürk,61,34366,14
671,Emre,Şahin,37,91071,13
672,Mehmet,Şahin,42,125854,15
673,Mehmet,Öztürk,24,110176,8
674,Fatma,Öztürk,38,140971,18
675,Emre,Çelik,24,102935,1
676,Ayşe,Arslan,46,79685,7
677,Mehmet,Korkmaz,69,115872,8
678,Zeynep,Demir,24,60567,9
679,Fatma,Demir,20,133516,15
680,Hüseyin,Kaya,46,134978,14
681,Ayşe,Şahin,46,64923,14
682,Ahmet,Doğan,56,111154,16
683,Elif,Kaya,55,88384,3
684,Elif,Şahin,23,102342,16
685,Elif,Çelik,63,75199,9
686,Fatma,Demir,27,103339,8
687,Emre,Şahin,54,108957,14
688,Mehmet,Öztürk,31,39574,14
689,Ahmet,Şahin,39,101111,8
690,Hüseyin,Demir,49,41714,14
691,Emre,Çelik,35,116155,1
692,Ayşe,Yılmaz,53,35137,4
693,Zeynep,Güler,63,134441,15
694,Zeynep,Şahin,69,83365,4
695,Emre,Kaya,26,121060,14
696,Hüseyin,Kaya,43,113694,14
697,Elif,Doğan,39,115875,10
698,Selin,Doğan,63,111245,9
699,Mehmet,Güler,55,140267,14
700,Zeynep,Doğan,40,66604,16
701,Selin,Şahin,34,66921,17
702,Mehmet,Demir,43,141995,6
703,Emre,Demir,64,105901,7
704,Zeynep,Demir,55,23063,14
705,Zeynep,Demir,19,89887,3
706,Ali,Çelik,23,53701,13
707,Ahmet,Doğan,24,86277,8
708,Ayşe,Öztürk,30,90260,7
709,Ali,Şahin,44,76468,12
710,Fatma,Arslan,28,77651,10
711,Ahmet,Yılmaz,32,82665,11
712,Emre,Yılmaz,26,91589,8
713,Ali,Arslan,25,71685,12
714,Ahmet,Güler,63,139546,16
715,Ayşe,Kaya,23,117817,4
716,Elif,Şahin,65,114765,4
717,Elif,Korkmaz,60,123171,7
718,Ali,Çelik,21,127027,10
719,Mehmet,Güler,28,121262,15
